fiscal_year,fiscal_period,fiscal_period_name,cost_center_id,cost_center_name,department_name,gl_account_id,gl_account_name,pnl_category,actual_amount,budget_amount,variance_amount,variance_pct,variance_direction,is_material,variance_driver,variance_driver_detail,driver_confidence,prior_period_variance_amount,variance_change_vs_prior,variance_trend_direction,rolling_3_period_variance,period_close_status,has_late_posting,late_posting_amount,late_posting_period_count,data_maturity_level,explanation_readiness,finance_signoff_flag
2024,1,FY24-P01,CC1001,Marketing Paid Media,Marketing,6100,Paid Advertising,Opex,306467.22,321750.0,-15282.78,-0.04749892447773331,Favorable,False,Rate,Rate,Medium,0.0,-15282.78,Stable,-15282.78,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1001,Marketing Paid Media,Marketing,6200,Cloud Infrastructure,Opex,620304.27,643500.0,-23195.73,-0.03604620714748561,Favorable,False,Timing,Timing,Medium,0.0,-23195.73,Stable,-23195.73,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1001,Marketing Paid Media,Marketing,6300,Professional Services,Opex,197696.09,193050.0,4646.09,0.024066774466767582,Unfavorable,False,Timing,Timing,Medium,0.0,4646.09,Stable,4646.09,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1001,Marketing Paid Media,Marketing,6400,Travel & Entertainment,Opex,97398.48,96525.0,873.48,0.009049251244903966,Unfavorable,False,Timing,Timing,Medium,0.0,873.48,Stable,873.48,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1001,Marketing Paid Media,Marketing,6500,Software Licenses,Opex,226363.24,235950.0,-9586.76,-0.04063047601384076,Favorable,False,Volume,Volume,Medium,0.0,-9586.76,Stable,-9586.76,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1001,Marketing Paid Media,Marketing,6600,Contractors,Opex,255430.25,268125.0,-12694.75,-0.04734640303161364,Favorable,False,Volume,Volume,Medium,0.0,-12694.75,Stable,-12694.75,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1001,Marketing Paid Media,Marketing,6700,Employee Benefits,Opex,437636.84,429000.0,8636.84,0.020132497359023588,Unfavorable,False,Timing,Timing,Medium,0.0,8636.84,Stable,8636.84,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1001,Marketing Paid Media,Marketing,6800,Training & Development,Opex,74693.69,75075.0,-381.31,-0.005079095371614641,Favorable,False,Timing,Timing,Medium,0.0,-381.31,Stable,-381.31,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1001,Marketing Paid Media,Marketing,6900,Office Expenses,Opex,94529.13,91162.5,3366.63,0.03693003207929339,Unfavorable,False,Timing,Timing,Medium,0.0,3366.63,Stable,3366.63,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1001,Marketing Paid Media,Marketing,7000,Data & Analytics Tools,Opex,155399.77,160875.0,-5475.23,-0.03403406836231099,Favorable,False,Timing,Timing,Medium,0.0,-5475.23,Stable,-5475.23,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1002,Marketing Brand,Marketing,6100,Paid Advertising,Opex,314603.01,321750.0,-7146.99,-0.022212865832835816,Favorable,False,Timing,Timing,Medium,0.0,-7146.99,Stable,-7146.99,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1002,Marketing Brand,Marketing,6200,Cloud Infrastructure,Opex,660455.85,643500.0,16955.85,0.02634941290065239,Unfavorable,False,Timing,Timing,Medium,0.0,16955.85,Stable,16955.85,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1002,Marketing Brand,Marketing,6300,Professional Services,Opex,190732.0,193050.0,-2318.0,-0.01200726993626626,Favorable,False,Timing,Timing,Medium,0.0,-2318.0,Stable,-2318.0,Hard Closed,False,0.0,0,Final,Ready,True
2024,1,FY24-P01,CC1002,Marketing Brand,Marketing,6400,Travel & Entertainment,Opex,95018.78,96525.0,-1506.22,-0.015604427752102891,Favorable,False,Timing,Timing,Medium,0.0,-1506.22,Stable,-1506.22,Hard Closed,False,0.0,0,Final,Ready,True
